brand,model,rmse,mape,mae,iqr_25_75,iqr_10_90
bmw,serie 2,8958.19,16.62,5348.0,800,2000
bmw,serie 2 active tourer,2196.2,8.47,1432.0,200,500
bmw,serie 2 gran tourer,2282.08,9.6,1572.0,0,100
bmw,serie 3,4928.78,28.14,2941.0,3200,7200
bmw,serie 4,12918.38,19.09,7681.0,1600,5400
bmw,serie 5,5599.13,23.92,3078.0,900,2600
bmw,serie 6,12722.71,23.77,7259.0,100,200
bmw,serie 7,13697.83,31.18,7876.0,0,100
bmw,serie 8,19288.0,26.54,13141.0,0,0
bmw,x1,2423.69,7.99,1685.0,1100,2500
bmw,x2,3438.05,7.59,2165.0,400,1400
bmw,x3,4924.13,15.35,3111.0,900,2800
bmw,x4,8511.52,14.55,5732.0,300,1000
bmw,x5,6214.94,14.97,3882.0,1000,2800
bmw,x6,10857.36,12.68,5845.0,500,1500
bmw,x7,9571.41,9.14,6608.0,0,0
bmw,xm,8500.0,0.2910326086956522,8500.0,8500,13600
bmw,z3,5131.38,31.83,3477.0,0,0
bmw,z4,6056.8,16.59,3840.0,100,300
byd,seal,250.0,0.002840909090909,125.0,100,400
cadillac,bls,3826.42,235.7,3649.0,2500,4200
cadillac,cts,2221.8610817660647,0.1745169082125603,1700.0,2600,4100
cadillac,el dorado,11250.0,1.823489010989011,11250.0,11200,18000
cadillac,escalade,3304.84,13.64,3248.0,5600,6500
cadillac,seville,2061.63,34.75,2061.0,2100,4900
cadillac,srx,2992.04,45.95,2967.0,2700,4700
cadillac,sts,665.9829827655759,0.0709585121602289,413.3333333333333,600,1000
cadillac,xlr,0.0,0.0,0.0,0,0
chevrolet,aveo,1191.35,21.27,803.0,0,0
chevrolet,camaro,18000.81,99.87,14332.0,18000,59200
chevrolet,captiva,1852.82,32.48,1350.0,0,100
chevrolet,corvette,14544.66,36.36,11228.0,15200,33500
chevrolet,corvette stingray,0.0,0.0,0.0,0,0
chevrolet,cruze,1294.65,21.03,903.0,0,0
chevrolet,epica,1516.35,49.14,1286.0,0,0
chevrolet,evanda,923.7604307034012,0.6666666666666666,533.3333333333334,800,1300
chevrolet,hhr,8002.5,0.9915867653367652,8002.5,8000,12800
chevrolet,kalos,1128.69,33.98,921.0,0,0
chevrolet,lacetti,1420.89,69.06,1190.0,0,0
chevrolet,malibu,0.0,0.0,0.0,0,0
chevrolet,matiz,951.47,67.16,771.0,1000,1800
chevrolet,nubira,1500.31,43.22,1202.0,1600,3600
chevrolet,orlando,2006.92,20.98,1699.0,0,0
chevrolet,spark,1222.2,23.45,941.0,1100,2900
chevrolet,tacuma,348.99,15.32,324.0,600,1300
chevrolet,tahoe,50.00249993750312,0.0019424582704681,25.25,0,100
chevrolet,trailblazer,2355.589239801088,0.2499375,1600.0,2400,3800
chevrolet,trax,1339.85,11.15,1026.0,1700,2700
chevrolet,volt,5660.35,29.24,4944.0,2200,6000
chrysler,300c,2964.07,23.18,2207.0,0,0
chrysler,300m,2509.14,89.55,2179.0,2500,3900
chrysler,crossfire,4497.73,54.42,3757.0,2800,7600
chrysler,grand voyager,3256.99,49.87,2298.0,0,0
chrysler,le baron,100.0,0.0119047619047619,50.0,0,100
chrysler,neon,200.0,0.1458333333333333,200.0,200,300
chrysler,pt cruiser,1776.11,41.2,1296.0,0,0
chrysler,saratoga,0.0,0.0,0.0,0,0
chrysler,sebring,2394.49,92.71,1829.0,3200,7200
chrysler,sebring 200c,2387.63,52.43,2191.0,3000,4700
chrysler,stratus,712.18,20.98,601.0,1700,3000
chrysler,vision,0.0,0.0,0.0,0,0
chrysler,voyager,2457.25,55.64,1840.0,0,0
citroen,2cv,3403.05,163.99,2680.0,3100,4500
citroen,ami,538.12,6.31,468.0,700,1200
citroen,ax,935.14,107.1,830.0,1100,4600
citroen,berlingo,2765.86,19.46,1970.0,900,2400
citroen,bx,1864.06,71.87,1799.0,3000,3800
citroen,c-crosser,1587.41,22.48,1136.0,1400,3500
citroen,c-elysee,1408.73,13.14,1031.0,0,100
citroen,c-zero,2287.12,30.49,2110.0,3100,4900
citroen,c1,1472.85,14.95,996.0,0,0
citroen,c15,1250.8,65.95,1012.0,0,0
citroen,c2,1250.8,49.86,932.0,100,200
citroen,c25,5918.37,199.98,4544.0,4700,9500
citroen,c3,1217.51,14.14,877.0,500,1100
citroen,c3 aircross,1605.47,7.53,1130.0,200,600
citroen,c3 origin,2004.1,8.68,1613.0,1000,3200
citroen,c3 picasso,1338.88,19.04,1040.0,0,0
citroen,c3 pluriel,2697.15,75.69,1686.0,2300,8800
citroen,c4,1350.57,17.74,946.0,500,1200
citroen,c4 aircross,1775.45,12.01,1440.0,2400,4400
citroen,c4 cactus,1439.88,9.92,1031.0,200,500
citroen,c4 picasso,1662.52,18.22,1203.0,200,600
citroen,c4 sedan,1226.55,25.68,1068.0,1300,2100
citroen,c4 spacetourer,2481.08,12.52,1730.0,0,100
citroen,c4 x,3193.95,13.24,2893.0,3000,8100
citroen,c5,1269.56,31.01,888.0,100,400
citroen,c5 aircross,2041.99,6.34,1323.0,100,400
citroen,c5 aircross hybrid,3204.0,8.26,2524.0,0,0
citroen,c5 x,4143.76,8.83,2879.0,0,300
citroen,c6,2060.32,20.51,1552.0,1000,3600
citroen,c8,1261.12,22.38,1040.0,0,0
citroen,cx,2838.426794311713,0.2175175175175175,1766.6666666666667,2600,4200
citroen,ds3,2876.0,24.11,1993.0,0,0
citroen,ds4,1035.06,7.47,615.0,0,0
citroen,ds5,2225.38,13.57,1571.0,0,0
citroen,e-mehari,500.0,0.0322916666666666,500.0,500,800
citroen,evasion,590.73,22.34,583.0,900,2000
citroen,grand c4 picasso,1937.81,24.73,1359.0,100,200
citroen,grand c4 spacetourer,1734.83,7.27,1247.0,0,0
citroen,jumper,13003.08,62.07,9618.0,0,0
citroen,jumpy,3475.96,32.91,2230.0,0,0
citroen,nemo,4045.36,67.67,3347.0,3000,4600
citroen,saxo,1675.61,53.12,1140.0,0,0
citroen,spacetourer,9278.84,19.13,5782.0,0,0
citroen,visa,577.3502691896257,0.1111111111111111,333.3333333333333,500,800
citroen,xantia,985.97,48.72,677.0,0,0
citroen,xm,2272.56,64.06,2150.0,1900,2800
citroen,xsara,644.09,43.63,487.0,0,100
citroen,xsara picasso,914.21,31.33,685.0,100,300
citroen,zx,307.24,23.57,267.0,400,1000
citroen,ë-berlingo,2759.18,9.24,1979.0,0,200
citroen,ë-c3,0.0,0.0,0.0,0,0
citroen,ë-c3 aircross,0.0,0.0,0.0,0,0
citroen,ë-c4,2043.18,5.4,1541.0,0,0
citroen,ë-jumpy,1080.49,27.5,1000.0,1500,3000
citroen,ë-spacetourer,6080.79,14.88,4299.0,8600,8800
citroen,ëc4 x,2022.48,4.8,1429.0,2500,7200
corvette,corvette,21792.05,41.37,19952.0,29500,51900
cupra,ateca,4017.88,8.93,3063.0,0,0
cupra,born,4010.47,8.54,2625.0,0,0
cupra,formentor,2579.51,5.67,1700.0,300,1100
cupra,leon,3957.66,8.51,2096.0,200,600
dacia,dokker,1842.13,14.0,1377.0,0,0
dacia,duster,1659.04,8.71,1135.0,100,400
dacia,jogger,2217.88,6.29,1339.0,0,0
dacia,lodgy,1567.15,9.78,1022.0,0,0
dacia,logan,1495.86,20.46,988.0,0,0
dacia,sandero,1397.06,12.28,1010.0,300,800
dacia,spring,2001.94,10.32,1336.0,0,0
daewoo,aranos,182.57418583505537,0.125,133.33333333333334,200,300
daewoo,compact,800.0,0.6044444444444445,800.0,800,1300
daewoo,kalos,726.5,49.16,578.0,1000,1700
daewoo,lacetti,871.36,45.99,852.0,1100,1700
daewoo,lanos,441.28,50.57,373.0,800,1200
daewoo,leganza,0.0,0.0,0.0,0,0
daewoo,matiz,513.43,39.15,365.0,600,1600
daewoo,nubira,688.16,29.57,637.0,800,1100
daewoo,tacuma,555.6752648804876,0.2997019358842405,375.0,400,1000
daihatsu,applause,0.0,0.0,0.0,0,0
daihatsu,feroza,2004.82,41.99,1270.0,1100,1900
daihatsu,rocky,2587.791851495531,0.8974358974358975,2100.0,3200,5000
daihatsu,sirion,0.0,0.0,0.0,0,0
daihatsu,terios,2398.51,149.44,2166.0,4700,6400
daimler,serie xj,12345.309500643014,0.582263740158477,10000.0,15000,24000
daimler,series iii,0.0,0.0,0.0,0,0
daimler,xj,1000.0,0.1714285714285714,1000.0,1000,1600
dfsk,500,2880.57,11.89,2493.0,3000,4800
dfsk,580,4497.37,11.52,3229.0,4000,7800
dfsk,fengon 5,4308.72,15.55,3791.0,5800,11600
dfsk,seres 3,750.0,0.0303431647585604,750.0,800,1200
dfsk,serie k,3729.6179428997816,0.2766707852070456,2875.0,4400,6800
dodge,avenger,371.56,9.28,368.0,400,700
dodge,caliber,1620.45,84.3,1282.0,0,0
dodge,challenger,11207.58,19.11,9069.0,13200,20200
dodge,durango,5906.405421235491,0.3645025031786395,4387.5,5100,11700
dodge,journey,1648.39,14.96,1197.0,2200,3300
dodge,nitro,2010.17,17.69,1298.0,2100,4800
dodge,viper,3050.0,0.0652380410022779,3050.0,3000,4900
dr automobiles,dr 3,0.0,0.0,0.0,0,0
dr automobiles,dr 3.0,0.0,0.0,0.0,0,0
dr automobiles,dr 4.0,673.54,3.14,545.0,1000,2000
dr automobiles,dr 5.0,1744.04,7.18,1083.0,1000,3000
dr automobiles,dr 6,9805.0,12.901315789473683,4902.5,4900,13700
dr automobiles,dr 6.0,4200.0,0.1495440729483282,4200.0,4200,6700
dr automobiles,dr4,652.39,3.1,532.0,800,800
ds,ds 3,1531.32,9.58,983.0,0,0
ds,ds 3 crossback,1592.81,5.29,1020.0,0,0
ds,ds 3 crossback e-tense,8175.43,16.4,6122.0,6800,8600
ds,ds 4,1980.28,5.94,1158.0,0,0
ds,ds 4 crossback,1743.1,9.66,1032.0,1400,3200
ds,ds 5,1487.13,7.13,993.0,0,0
ds,ds 7,7343.98,10.54,4356.0,0,0
ds,ds 7 crossback,2249.33,6.57,1572.0,100,300
ds,ds 7 crossback e-tense,3141.24,6.43,1797.0,0,0
ds,ds 9,10164.25,16.94,8699.0,14000,33900
evo,cross 4,940.67,2.43,746.0,1000,1200
evo,evo 3,1499.34,6.19,1210.0,700,2100
evo,evo 4,455.0,0.0113806903451725,227.5,200,600
evo,evo 5,4170.93,15.71,3015.0,4400,7400
evo,evo 7,1732.0508075688772,0.0476698651726182,1500.0,2500,3400
ferrari,348,5080.3,6.04,4450.0,6900,14800
ferrari,360,21620.523814191,0.198398462721921,17225.0,23200,43400
ferrari,599,0.0,0.0,0.0,0,0
ferrari,612,0.0,0.0,0.0,0,0
ferrari,california,10196.669390868112,0.078648784408278,8066.666666666667,12100,19400
ferrari,f430,11500.0,0.1092551293487957,11500.0,11500,18400
ferrari,mondial,0.0,0.0,0.0,0,0
fiat,124 spider,2560.35,11.33,2002.0,3600,5400
fiat,500,1189.95,8.44,870.0,600,1400
fiat,500c,2175.23,12.61,1425.0,100,300
fiat,500l,1230.2,9.15,854.0,0,0
fiat,500x,1592.6,5.96,995.0,100,200
fiat,600,8188.63,73.78,4918.0,4800,30900
fiat,argenta,0.0,0.0,0.0,0,0
fiat,barchetta,1447.94,21.38,1150.0,1500,3700
fiat,brava,250.0,0.1151315789473684,175.0,200,500
fiat,bravo,1193.98,53.68,912.0,0,0
fiat,cinquecento,1527.17,37.42,1197.0,2000,4000
fiat,coupe,1799.4,23.15,1737.0,1900,4900
fiat,croma,1251.73,70.01,949.0,1400,2600
fiat,doblò,1995.4,25.62,1404.0,0,0
fiat,doblò cargo,1000.5,0.2084687734433608,1000.5,1000,1600
fiat,doblò panorama,2997.06,30.4,2499.0,3000,5900
fiat,ducato,12487.34,44.4,7996.0,100,300
fiat,e-doblò,3198.79,10.09,3000.0,2000,5000
fiat,e-ulysse,2801.76,35.29,2300.0,4600,6300
fiat,fiorino,1515.54,21.66,1254.0,0,0
fiat,freemont,2415.31,22.04,1979.0,0,0
fiat,fullback,960.96,3.91,841.0,1200,2500
fiat,grande punto,1041.46,26.41,829.0,0,0
fiat,idea,647.9,31.12,557.0,1000,1600
fiat,linea,938.13,24.86,785.0,1800,4200
fiat,marea,1110.2,23.23,625.0,100,1700
fiat,multipla,1358.02,80.49,1175.0,1200,3700
fiat,palio weekend,0.0,0.0,0.0,0,0
fiat,panda,1365.54,15.43,920.0,200,600
fiat,panda classic,1350.0,0.6467770034843205,1350.0,1400,2200
fiat,punto,1042.66,29.93,808.0,0,100
fiat,punto classic,595.0,0.3483240654927402,595.0,600,1000
fiat,punto evo,997.41,19.86,783.0,0,0
fiat,qubo,1608.65,12.77,1197.0,0,0
fiat,sedici,2334.14,44.52,1949.0,4200,8200
fiat,seicento,160.06,9.25,132.0,300,900
fiat,stilo,886.74,29.69,694.0,0,0
fiat,strada,1601.7568479641347,0.2480633401686033,837.5,800,2300
fiat,talento,13752.04,56.3,12845.0,19500,27500
fiat,tipo,1423.14,8.01,935.0,100,400
fiat,ulysse,1749.01,48.61,1238.0,1400,3300
fiat,uno,16873.39,534.52,15550.0,16100,25400
ford,b-max,1123.42,10.56,882.0,0,0
ford,bronco,50353.85,125.96,43453.0,33200,65200
ford,c-max,1707.07,23.71,1142.0,100,400
ford,connect,0.0,0.0,0.0,0,0
ford,cougar,1315.47,34.03,1300.0,1500,3700
ford,courier,3053.14,43.34,2114.0,4100,10700
ford,ecosport,1373.62,5.84,900.0,0,200
ford,edge,5987.13,17.66,5101.0,6200,13100
ford,escort,3406.18,83.63,2428.0,0,0
ford,explorer,29365.01,175.29,28251.0,59500,71000
ford,fiesta,1381.96,18.5,919.0,400,1000
ford,focus,3090.43,27.25,1575.0,1600,3600
ford,focus c-max,1151.46,30.68,987.0,0,0
ford,fusion,1265.56,43.83,963.0,0,0
ford,galaxy,2414.4,19.77,1709.0,0,0
ford,granada,0.0,0.0,0.0,0,0
ford,grand c-max,1523.38,11.78,1166.0,0,0
ford,grand tourneo connect,3283.37,46.51,2060.0,0,0
ford,grand tourneo custom,4250.0,0.375,4250.0,4200,6800
ford,ka,1272.3,43.91,857.0,0,100
ford,ka+,1116.16,8.31,686.0,0,0
ford,kuga,2233.21,7.14,1436.0,500,1300
ford,maverick,2698.69,34.85,2396.0,2100,3800
ford,mondeo,1655.65,26.57,1144.0,300,800
ford,mustang,5938.59,12.92,4201.0,100,300
ford,mustang mach-e,7959.17,12.86,6266.0,0,0
ford,orion,537.04,22.87,412.0,1300,2100
ford,pickup,8104.782538723664,0.1754355400696864,5125.0,6600,13200
ford,probe,2124.98,24.04,1681.0,1300,3100
ford,puma,2379.85,23.07,1515.0,300,900
ford,ranger,7680.82,18.2,5315.0,100,300
ford,s-max,2123.34,16.27,1446.0,0,100
ford,scorpio,3079.3668180325644,0.8027512806924572,2350.0,3300,5800
ford,sierra,6652.53,134.21,3825.0,3000,19000
ford,streetka,1962.354028541571,0.4863945578231292,1516.6666666666667,2300,3600
ford,tourneo connect,2557.06,50.21,1995.0,0,0
ford,tourneo courier,1724.93,11.48,1131.0,100,200
ford,tourneo custom,9439.62,39.09,6894.0,0,0
ford,transit,7033.36,74.24,5021.0,100,200
ford,transit connect,3357.12,40.84,2433.0,3000,9500
ford,transit custom,14024.14,62.21,12053.0,21300,26700
galloper,exceed,2526.71,82.07,2157.0,0,0
galloper,santamo,0.0,0.0,0.0,0,0
galloper,super exceed,2766.99,27.16,2139.0,2000,4500
honda,accord,1915.92,48.26,1516.0,0,0
honda,civic,4853.75,23.33,2657.0,200,700
honda,cr-v,1698.11,9.64,1069.0,100,200
honda,cr-z,1979.1475437672652,0.1216741741741741,1552.5,2200,3900
honda,crx,2368.25,32.08,1899.0,3100,6100
honda,e:ny1,763.68,1.17,540.0,0,600
honda,fr-v,1523.9,17.3,1122.0,1800,5000
honda,honda e,6425.62,15.1,4520.0,5300,15000
honda,hr-v,1875.75,9.12,1147.0,0,0
honda,insight,1343.85,10.06,1063.0,800,2000
honda,jazz,1270.34,5.43,729.0,0,0
honda,legend,725.0,0.1644423558897243,725.0,700,1200
honda,prelude,3341.4,57.33,3033.0,3500,5400
honda,s2000,8726.86,30.32,8070.0,11800,33100
honda,zr-v,1689.77,2.87,1225.0,0,0
hummer,h2,10291.18,29.76,7997.0,8000,26300
hummer,h3,4061.33,20.95,3900.0,7500,10500
hyundai,accent,1159.54,73.83,705.0,0,0
hyundai,atos,540.38,41.26,480.0,900,1500
hyundai,atos prime,846.81,38.22,706.0,0,0
hyundai,bayon,1423.68,5.83,981.0,0,100
hyundai,coupe,1391.66,66.91,1076.0,0,0
hyundai,elantra,3446.85,84.63,2009.0,0,0
hyundai,genesis,2500.0,0.1416207710464201,2500.0,2500,4000
hyundai,getz,737.56,20.19,502.0,0,0
hyundai,grand santa fe,6592.32,92.1,5371.0,14900,18500
hyundai,grandeur,0.0,0.0,0.0,0,0
hyundai,h-1,4874.29,72.35,3506.0,0,0
hyundai,h-1 travel,13780.13,149.91,9744.0,3000,13400
hyundai,i10,1356.3,10.53,923.0,100,200
hyundai,i20,3148.24,10.58,1615.0,200,700
hyundai,i20 active,3226.03,27.67,2302.0,3300,5900
hyundai,i30,3449.47,13.92,2090.0,400,1100
hyundai,i40,1266.3,8.64,841.0,0,0
hyundai,i800,0.0,0.0,0.0,0,0
hyundai,ioniq,1669.46,6.85,1058.0,100,200
hyundai,ioniq 5,3924.58,6.06,2503.0,0,0
hyundai,ioniq 6,6350.33,14.32,5592.0,9000,10500
hyundai,ix20,1087.7,8.64,717.0,0,0
hyundai,ix35,1543.36,11.58,1195.0,0,100
hyundai,ix55,4082.8993374806582,0.3854022126382899,3333.0,5000,8000
hyundai,kona,2725.01,7.87,1604.0,400,1100
hyundai,lantra,577.3502691896257,0.4666666666666666,466.6666666666667,700,1100
hyundai,matrix,746.28,44.0,624.0,1100,1800
hyundai,santa fe,2740.99,21.19,1820.0,100,200
hyundai,scoupe,2265.5021518418384,0.7465608465608466,2150.0,3600,4900
hyundai,sonata,2176.1,34.34,1549.0,0,0
hyundai,sonata fl,0.0,0.0,0.0,0,0
hyundai,staria,4239.51,7.91,3352.0,5100,9100
hyundai,terracan,3418.96,84.71,2924.0,0,0
hyundai,trajet,1537.97,103.47,1391.0,1600,3700
hyundai,tucson,1916.39,6.8,1248.0,600,1600
hyundai,veloster,3197.291822777521,0.3890203480620902,3012.5,5100,6800
hyundai,xg,819.6798155377501,0.168006195533769,612.5,900,1500
ineos,grenadier,5663.945179819451,0.0474774447811738,3402.5,4200,8900
infiniti,ex,3291.17,38.29,3278.0,3100,6300
infiniti,fx,3546.77,15.89,2592.0,5000,10300
infiniti,g,1306.19,5.0,833.0,2100,4500
infiniti,m,2692.14,17.79,2613.0,4600,6800
infiniti,q30,2106.63,9.28,1319.0,0,0
infiniti,q50,2258.7,13.28,1687.0,0,0
infiniti,q60,5417.57,11.01,3724.0,4600,6000
infiniti,q70,1554.81,7.1,1367.0,2400,5000
infiniti,qx30,814.81,2.59,512.0,0,400
infiniti,qx50,2000.0,0.119298245614035,2000.0,2000,3200
infiniti,qx70,2737.6175773836635,0.1362589604021973,2650.0,4900,5600
isuzu,d max,13622.652703004163,0.6589861751152074,9166.666666666666,13800,22000
isuzu,d-max,12041.47,74.02,9999.0,19900,28300
isuzu,pick up,13500.0,4.7368421052631575,13500.0,13500,21600
isuzu,rodeo,0.0,0.0,0.0,0,0
isuzu,trooper,1619.03,54.44,1369.0,3300,4200
iveco,daily,6918.72,74.14,4892.0,0,100
iveco,massif,12759.571570654974,1.9398785425101213,7400.0,11100,17800
iveco-pegaso,daily,8691.65,304.3,7724.0,10100,19300
jaguar,e-pace,4072.89,10.38,2684.0,100,200
jaguar,f-pace,4591.08,12.22,3367.0,300,800
jaguar,f-type,7775.21,12.27,6247.0,0,0
jaguar,i-pace,8690.33,13.94,5758.0,0,0
jaguar,s-type,2451.98,72.82,1766.0,0,0
jaguar,serie xj,4161.62,35.02,3697.0,5600,9400
jaguar,serie xk,12648.81,41.78,10448.0,14800,29900
jaguar,x-type,2429.47,37.35,1668.0,0,0
jaguar,xe,3622.19,11.85,2453.0,0,0
jaguar,xf,3390.82,18.16,2429.0,0,0
jaguar,xj,7346.12,31.15,5597.0,0,0
jeep,avenger,2864.02,7.27,2069.0,0,1200
jeep,cherokee,3771.38,27.29,2702.0,0,0
jeep,commander,3250.45,20.87,2632.0,5800,7800
jeep,compass,2064.64,6.1,1203.0,200,500
jeep,gladiator,11424.92,20.77,9352.0,12300,17000
jeep,grand cherokee,3684.84,18.63,2181.0,100,200
jeep,patriot,3238.29,121.31,2675.0,2200,5800
jeep,renegade,2053.65,5.81,1142.0,100,300
jeep,wrangler,8074.24,14.59,5468.0,100,400
jeep,wrangler unlimited,5256.74,10.42,4110.0,0,0
kgm,korando,1270.0,0.0529986384823245,1270.0,1300,2000
kgm,musso,0.0,0.0,0.0,0,0
kgm,rexton,1275.4084313139329,0.0179008648570949,800.0,1200,1900
kgm,tivoli,1105.0,0.0589961537478233,1105.0,1100,1800
kgm,torres,0.0,0.0,0.0,0,0
kia,carens,1809.78,24.08,1065.0,0,0
kia,carnival,2010.87,34.52,1433.0,0,100
kia,cee'd sportswagon,1693.46,9.47,916.0,0,0
kia,cee'd sporty wagon,1763.11,26.55,1527.0,2600,3500
kia,ceed,1662.64,7.95,1015.0,300,700
kia,ceed tourer,1501.8,3.58,805.0,0,0
kia,cerato,745.98,30.35,607.0,1100,2000
kia,clarus,100.0,0.0627450980392156,100.0,100,200
