brand,model,rmse,mape
chrysler,sebring 200c,2387.63,52.43
chrysler,stratus,712.18,20.98
chrysler,vision,0.0,0.0
chrysler,voyager,2457.25,55.64
citroen,2cv,3403.05,163.99
citroen,ami,538.12,6.31
citroen,ax,935.14,107.1
citroen,berlingo,2922.05,26.52
citroen,bx,1864.06,71.87
citroen,c-crosser,1587.41,22.48
citroen,c-elysee,1439.91,13.12
citroen,c-zero,2287.12,30.49
citroen,c1,1416.19,14.81
citroen,c15,1250.8,65.95
citroen,c2,1250.8,49.86
citroen,c25,5918.37,199.98
citroen,c3,1184.02,13.78
citroen,c3 aircross,1493.74,7.04
citroen,c3 origin,2004.1,8.68
citroen,c3 picasso,1469.54,20.35
citroen,c3 pluriel,2697.15,75.69
citroen,c4,1360.55,16.22
citroen,c4 aircross,1775.21,12.01
citroen,c4 cactus,1445.32,9.08
citroen,c4 picasso,1725.25,23.74
citroen,c4 sedan,1226.33,25.68
citroen,c4 spacetourer,2154.28,11.36
citroen,c4 x,3193.95,13.24
citroen,c5,1325.26,32.01
citroen,c5 aircross,2202.94,6.91
citroen,c5 aircross hybrid,3204.0,8.26
citroen,c5 x,4564.23,9.58
citroen,c6,2060.34,20.51
citroen,c8,1261.12,22.38
citroen,cx,2409.7026095903757,0.4190483166092922
citroen,ds3,2982.19,25.32
citroen,ds4,1121.74,9.37
citroen,ds5,2339.19,14.28
citroen,e-mehari,500.0,0.03229166666666666
citroen,evasion,590.73,22.34
citroen,grand c4 picasso,2920.06,29.12
citroen,grand c4 spacetourer,1873.01,8.95
citroen,jumper,11735.09,45.85
citroen,jumpy,4722.51,54.82
citroen,nemo,4045.03,67.66
citroen,saxo,1675.61,53.12
citroen,spacetourer,9699.26,19.94
citroen,visa,471.4045207910317,0.18518518518518523
citroen,xantia,985.97,48.72
citroen,xm,2272.56,64.06
citroen,xsara,666.49,45.53
citroen,xsara picasso,914.21,31.33
citroen,zx,307.24,23.57
citroen,ë-berlingo,2759.18,9.24
citroen,ë-c3,0.0,0.0
citroen,ë-c3 aircross,0.0,0.0
citroen,ë-c4,1976.27,5.24
citroen,ë-jumpy,1080.49,27.5
citroen,ë-spacetourer,6080.78,14.88
citroen,ëc4 x,2022.48,4.8
corvette,corvette,21792.05,41.37
cupra,ateca,4017.89,8.93
cupra,born,4258.35,9.05
cupra,formentor,3624.7,7.88
cupra,leon,5164.24,13.17
dacia,dokker,3052.58,38.86
dacia,duster,1555.97,9.11
dacia,jogger,2210.93,6.68
dacia,lodgy,1285.84,10.37
dacia,logan,1422.15,20.7
dacia,sandero,1703.2,16.18
dacia,spring,2516.6,13.81
daewoo,aranos,169.96731711975949,0.15895061728395057
daewoo,compact,800.0,0.6044444444444445
daewoo,kalos,726.5,49.16
daewoo,lacetti,871.36,45.99
daewoo,lanos,441.28,50.57
daewoo,leganza,0.0,0.0
daewoo,matiz,513.43,39.15
daewoo,nubira,688.16,29.57
daewoo,tacuma,541.4332830552625,0.3110743728683578
daihatsu,applause,0.0,0.0
daihatsu,feroza,2004.82,41.99
daihatsu,rocky,2577.250904010361,0.8711111111111111
daihatsu,sirion,0.0,0.0
daihatsu,terios,2398.51,149.44
daimler,serie xj,12280.155626954498,0.6326879268145478
daimler,series iii,0.0,0.0
daimler,xj,1000.0,0.17142857142857143
dfsk,500,2880.57,11.89
dfsk,580,4497.37,11.52
dfsk,fengon 5,4308.72,15.55
dfsk,seres 3,750.0,0.030343164758560477
dfsk,serie k,3468.8831055542937,0.25220087069874003
dodge,avenger,371.56,9.28
dodge,caliber,1623.86,84.51
dodge,challenger,16833.3,316.22
dodge,durango,5827.453882271399,0.3537860312036448
dodge,journey,1648.39,14.96
dodge,nitro,2010.17,17.69
dodge,viper,3050.0,0.0652380410022779
dr automobiles,dr 3,0.0,0.0
dr automobiles,dr 3.0,0.0,0.0
dr automobiles,dr 4.0,673.54,3.14
dr automobiles,dr 5.0,6211.96,294.19
dr automobiles,dr 6,8491.37908410642,9.859922559964193
dr automobiles,dr 6.0,4200.0,0.14954407294832828
dr automobiles,dr4,652.39,3.1
ds,ds 3,2966.95,14.76
ds,ds 3 crossback,1577.71,5.14
ds,ds 3 crossback e-tense,8175.62,16.4
ds,ds 4,1995.86,5.62
ds,ds 4 crossback,1742.13,9.66
ds,ds 5,1586.23,7.63
ds,ds 7,7343.98,10.54
ds,ds 7 crossback,2276.09,6.59
ds,ds 7 crossback e-tense,3141.24,6.43
ds,ds 9,10164.25,16.94
evo,cross 4,940.67,2.43
evo,evo 3,1499.34,6.19
evo,evo 4,394.04155872191956,0.016699393356965565
evo,evo 5,4170.93,15.71
evo,evo 7,1658.3123951777,0.0469453991365602
ferrari,348,5080.3,6.04
ferrari,360,21096.780560075986,0.21027876059095113
ferrari,599,0.0,0.0
ferrari,612,0.0,0.0
ferrari,california,9986.414104505515,0.08341876505002381
ferrari,f430,11500.0,0.10925512934879572
ferrari,mondial,0.0,0.0
fiat,124 spider,2560.35,11.33
fiat,500,1185.35,8.58
fiat,500c,1998.2,10.64
fiat,500l,1247.42,9.39
fiat,500x,1915.63,7.55
fiat,600,7924.43,68.19
fiat,argenta,0.0,0.0
fiat,barchetta,1447.94,21.38
